# TStellate2_CS Optimisation
# 20130621+13:51:40
 
#param.w.x[lsr][ts] = 0.00171777	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.00067581	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000834633	[1e-07,0.3]
#param.w.x[tv][ts] = 1.1606e-05	[1e-07,0.3]
#param.w.x[glg][ts] = 3.3936e-05	[1e-07,0.3]
# final error=10.999743
# Threshold level 10 
# Threshold rate 525 
# TS exemplar RMP -60.9
# TS exemplar CF 9100
# Time	 IV @spl=20 (mV)	 IV @spl=30 (mV)	 IV @spl=40 (mV)
-20.00	-65.000000	-65.000000	-65.000000
-19.90	-64.771356	-64.771356	-64.771356
-19.80	-64.554578	-64.554578	-64.554578
-19.70	-64.348924	-64.348924	-64.348924
-19.60	-64.153860	-64.153860	-64.153860
-19.50	-63.953293	-63.968898	-63.968898
-19.40	-63.751351	-63.777901	-63.793461
-19.30	-63.551015	-63.600608	-63.627087
-19.20	-63.323536	-63.435366	-63.469362
-19.10	-63.095074	-63.265455	-63.289013
-19.00	-62.899428	-63.109814	-63.125662
-18.90	-62.714378	-62.951140	-62.961063
-18.80	-62.554420	-62.807503	-62.782345
-18.70	-62.414416	-62.661381	-62.596087
-18.60	-62.275542	-62.530311	-62.437002
-18.50	-62.124077	-62.411696	-62.284276
-18.40	-61.965239	-62.303573	-62.092369
-18.30	-61.803446	-62.144245	-61.935539
-18.20	-61.611983	-61.995104	-61.790324
-18.10	-61.401511	-61.855101	-61.655516
-18.00	-61.209652	-61.723127	-61.544714
-17.90	-61.017429	-61.598714	-61.422920
-17.80	-60.796587	-61.481232	-61.294421
-17.70	-60.617118	-61.385282	-61.177881
-17.60	-60.440452	-61.291515	-61.071449
-17.50	-60.266955	-61.200097	-60.958922
-17.40	-60.126648	-61.111605	-60.784753
-17.30	-59.997392	-61.026472	-60.612267
-17.20	-59.879249	-60.959953	-60.457548
-17.10	-59.799643	-60.907805	-60.288656
-17.00	-59.720512	-60.866859	-60.154617
-16.90	-59.658213	-60.834807	-60.032095
-16.80	-59.622584	-60.794857	-59.905588
-16.70	-59.564161	-60.734962	-59.792528
-16.60	-59.491235	-60.661718	-59.661584
-16.50	-59.436763	-60.609448	-59.534166
-16.40	-59.395639	-60.513838	-59.411986
-16.30	-59.364264	-60.403957	-59.308076
-16.20	-59.312750	-60.283366	-59.203407
-16.10	-59.248483	-60.141108	-59.128105
-16.00	-59.175636	-60.028539	-59.046477
-15.90	-59.111788	-59.923561	-58.931569
-15.80	-59.051814	-59.781014	-58.850453
-15.70	-58.996153	-59.672179	-58.808908
-15.60	-58.942359	-59.516481	-58.797345
-15.50	-58.920015	-59.415182	-58.779892
-15.40	-58.906428	-59.310964	-58.759564
-15.30	-58.914787	-59.206717	-58.710783
-15.20	-58.939576	-59.101816	-58.683972
-15.10	-58.933581	-59.026582	-58.660654
-15.00	-58.891647	-58.945126	-58.597288
-14.90	-58.823394	-58.876172	-58.576890
-14.80	-58.723058	-58.803201	-58.573093
-14.70	-58.658454	-58.728422	-58.554854
-14.60	-58.605122	-58.681940	-58.553950
-14.50	-58.574366	-58.612821	-58.565746
-14.40	-58.561178	-58.543341	-58.572394
-14.30	-58.546201	-58.474078	-58.576627
-14.20	-58.532210	-58.390384	-58.592528
-14.10	-58.532282	-58.284570	-58.604266
-14.00	-58.528612	-58.176701	-58.595747
-13.90	-58.507783	-58.068051	-58.502742
-13.80	-58.434682	-57.919298	-58.461267
-13.70	-58.379114	-57.827265	-58.398444
-13.60	-58.364872	-57.762180	-58.350013
-13.50	-58.323651	-57.690017	-58.299066
-13.40	-58.291929	-57.669390	-58.289076
-13.30	-58.296775	-57.645037	-58.266095
-13.20	-58.314056	-57.619156	-58.234207
-13.10	-58.312973	-57.606380	-58.183230
-13.00	-58.299421	-57.619019	-58.160558
-12.90	-58.291226	-57.650448	-58.088271
-12.80	-58.286461	-57.694250	-58.039262
-12.70	-58.286425	-57.747031	-58.006897
-12.60	-58.303824	-57.751543	-57.958719
-12.50	-58.290542	-57.745472	-57.866953
-12.40	-58.283101	-57.757629	-57.788285
-12.30	-58.293181	-57.796395	-57.732498
-12.20	-58.302531	-57.839117	-57.695788
-12.10	-58.323396	-57.856014	-57.645997
-12.00	-58.338823	-57.866352	-57.602116
-11.90	-58.364365	-57.897906	-57.560857
-11.80	-58.398354	-57.899721	-57.532456
-11.70	-58.436641	-57.891041	-57.513249
-11.60	-58.451172	-57.804192	-57.509893
-11.50	-58.431912	-57.666218	-57.498344
-11.40	-58.431199	-57.527608	-57.485711
-11.30	-58.388898	-57.304575	-57.427544
-11.20	-58.358991	-56.778266	-57.322871
-11.10	-58.320619	-56.419474	-57.049801
-11.00	-58.304110	-56.337683	-56.544628
-10.90	-58.273419	-56.802857	-56.589688
-10.80	-58.221568	-57.081595	-56.897316
-10.70	-58.166909	-56.734787	-57.457729
-10.60	-58.111402	-56.844147	-57.915126
-10.50	-58.055517	-56.926858	-58.149924
-10.40	-57.973459	-57.630771	-58.238032
-10.30	-57.888321	-58.152248	-58.248494
-10.20	-57.810250	-58.455109	-58.219255
-10.10	-57.753222	-58.590424	-58.137436
-10.00	-57.709234	-58.658995	-58.072805
-9.90	-57.689640	-58.677232	-57.991275
-9.80	-57.630499	-58.680011	-57.950784
-9.70	-57.599597	-58.705512	-57.851961
-9.60	-57.590721	-58.705162	-57.759472
-9.50	-57.585506	-58.716047	-57.673881
-9.40	-57.528177	-58.636606	-57.507381
-9.30	-57.490012	-58.563310	-57.220846
-9.20	-57.422187	-58.523208	-56.484690
-9.10	-57.379545	-58.477685	-56.393412
-9.00	-57.369105	-58.428867	-56.308943
-8.90	-57.327821	-58.377737	-56.912830
-8.80	-57.290424	-58.312214	-57.377335
-8.70	-57.296988	-58.263108	-57.509498
-8.60	-57.267278	-58.242103	-57.462502
-8.50	-57.237596	-58.228072	-57.271813
-8.40	-57.221679	-58.203855	-56.983356
-8.30	-57.200880	-58.171355	-56.390057
-8.20	-57.170816	-58.121599	-56.193989
-8.10	-57.135217	-58.054685	-56.144585
-8.00	-57.128712	-57.920835	-56.674351
-7.90	-57.111124	-57.799435	-57.183967
-7.80	-57.057421	-57.728353	-57.465834
-7.70	-56.986938	-57.665578	-57.570888
-7.60	-56.867249	-57.594903	-57.551239
-7.50	-56.595996	-57.562810	-57.391768
-7.40	-55.792646	-57.560623	-57.069417
-7.30	-55.329127	-57.579299	-56.536925
-7.20	-55.136851	-57.612841	-56.542360
-7.10	-55.789981	-57.644159	-56.709844
-7.00	-56.880551	-57.689251	-57.313232
-6.90	-57.756460	-57.743998	-57.775386
-6.80	-58.277255	-57.751612	-57.985140
-6.70	-58.531178	-57.725925	-58.098407
-6.60	-58.635824	-57.643496	-58.150445
-6.50	-58.683940	-57.574902	-58.148210
-6.40	-58.633280	-57.544494	-58.124300
-6.30	-58.603167	-57.529628	-58.100338
-6.20	-58.576202	-57.510054	-58.006497
-6.10	-58.538470	-57.446522	-57.946356
-6.00	-58.521234	-57.377618	-57.896732
-5.90	-58.460463	-57.334395	-57.812422
-5.80	-58.415612	-57.322739	-57.744015
-5.70	-58.381684	-57.291807	-57.701716
-5.60	-58.337003	-57.264027	-57.663989
-5.50	-58.317683	-57.224058	-57.625823
-5.40	-58.274041	-57.189609	-57.543101
-5.30	-58.269000	-57.146723	-57.465256
-5.20	-58.248354	-57.111913	-57.351497
-5.10	-58.231447	-57.079926	-57.224540
-5.00	-58.218741	-57.025123	-56.982969
-4.90	-58.222612	-56.976110	-56.416080
-4.80	-58.183285	-56.946333	-56.385834
-4.70	-58.150493	-56.928111	-56.415458
-4.60	-58.139794	-56.887910	-57.059071
-4.50	-58.074633	-56.849271	-57.524179
-4.40	-57.984084	-56.852474	-57.835349
-4.30	-57.930706	-56.886688	-57.997122
-4.20	-57.817293	-56.889940	-58.101289
-4.10	-57.677470	-56.869459	-58.167749
-4.00	-57.576308	-56.869733	-58.214767
-3.90	-57.514877	-56.840030	-58.277880
-3.80	-57.426320	-56.816323	-58.310555
-3.70	-57.360825	-56.792372	-58.322398
-3.60	-57.296231	-56.750528	-58.289061
-3.50	-57.273756	-56.708022	-58.239732
-3.40	-57.279972	-56.633307	-58.121692
-3.30	-57.260064	-56.453668	-57.982614
-3.20	-57.202435	-55.889446	-57.909789
-3.10	-57.118036	-55.847185	-57.884500
-3.00	-57.012061	-55.862114	-57.851546
-2.90	-56.776024	-56.498053	-57.813314
-2.80	-56.186337	-56.895744	-57.702606
-2.70	-56.214801	-57.168324	-57.626088
-2.60	-56.211267	-57.253384	-57.572990
-2.50	-56.849256	-57.261314	-57.551494
-2.40	-57.303061	-57.284378	-57.537252
-2.30	-57.559377	-57.272581	-57.542897
-2.20	-57.690634	-57.292090	-57.522744
-2.10	-57.689365	-57.305708	-57.494762
-2.00	-57.645886	-57.318921	-57.471934
-1.90	-57.526388	-57.341579	-57.467951
-1.80	-57.387885	-57.369908	-57.478137
-1.70	-57.227049	-57.385534	-57.456845
-1.60	-56.975218	-57.321439	-57.428821
-1.50	-56.395033	-57.282506	-57.435648
-1.40	-56.076828	-57.215042	-57.467050
-1.30	-55.917633	-57.132122	-57.458361
-1.20	-56.200217	-57.047121	-57.394109
-1.10	-56.145737	-56.896408	-57.331431
-1.00	-56.163938	-56.458488	-57.304342
-0.90	-56.306307	-55.955679	-57.202284
-0.80	-56.879883	-55.894295	-57.117888
-0.70	-57.431022	-56.207948	-56.944332
-0.60	-57.786995	-56.765089	-56.727051
-0.50	-57.934359	-57.223476	-56.407244
-0.40	-57.985399	-57.454096	-55.812646
-0.30	-58.026426	-57.521276	-55.771987
-0.20	-58.004434	-57.493714	-55.737165
-0.10	-57.981252	-57.429827	-56.301672
0.00	-57.929872	-57.370257	-56.526912
0.10	-57.875450	-57.344303	-56.432461
0.20	-57.819227	-57.273556	-56.249287
0.30	-57.773049	-57.212966	-56.298880
0.40	-57.735818	-57.162053	-56.648808
0.50	-57.716712	-57.116467	-57.146786
0.60	-57.712063	-57.060383	-57.501893
0.70	-57.715359	-56.969336	-57.702726
0.80	-57.656133	-56.866765	-57.808636
0.90	-57.608861	-56.732120	-57.848035
1.00	-57.541380	-56.594325	-57.814319
1.10	-57.503480	-56.395112	-57.696945
1.20	-57.449735	-55.927131	-57.525840
1.30	-57.412220	-55.613654	-57.161125
1.40	-57.335794	-55.662251	-56.560107
1.50	-57.253445	-56.156074	-56.464803
1.60	-57.084903	-56.795394	-56.651301
1.70	-56.736763	-57.294960	-57.154897
1.80	-56.325919	-57.536661	-57.460927
1.90	-56.359502	-57.674258	-57.547380
2.00	-56.642097	-57.742413	-57.499592
2.10	-57.220878	-57.773343	-57.388110
2.20	-57.556832	-57.739852	-57.137677
2.30	-57.748241	-57.692057	-56.471695
2.40	-57.799850	-57.620970	-56.382450
2.50	-57.780349	-57.520121	-56.359397
2.60	-57.728302	-57.424349	-56.977869
2.70	-57.632288	-57.330441	-57.477583
2.80	-57.472209	-57.210037	-57.815409
2.90	-57.209541	-57.110841	-57.992273
3.00	-56.573810	-57.040420	-58.114307
3.10	-56.337524	-56.963928	-58.150142
3.20	-56.262351	-56.847760	-58.172318
3.30	-56.728574	-56.745281	-58.188577
3.40	-57.117176	-56.679222	-58.145845
3.50	-57.218002	-56.624861	-58.111081
3.60	-56.760296	-56.591132	-58.012183
3.70	-56.812232	-56.555737	-57.696220
3.80	-56.858968	-56.468833	-56.676833
3.90	-57.551157	-56.293144	-55.068760
4.00	-58.030652	-55.859072	-52.615372
4.10	-58.353301	-54.923161	-48.861638
4.20	-58.537718	-53.354271	-43.832846
4.30	-58.491049	-51.441867	-34.833834
4.40	-58.310939	-49.157196	-25.347797
4.50	-57.961641	-46.063635	-21.302230
4.60	-57.374949	-40.064430	-24.578273
4.70	-56.315493	-30.490085	-34.622634
4.80	-54.602366	-22.009609	-45.685380
4.90	-52.207203	-23.121408	-54.064640
5.00	-48.920115	-29.482039	-59.037569
5.10	-43.748326	-41.392353	-61.280494
5.20	-36.177434	-51.217356	-62.214595
5.30	-26.542651	-57.324868	-62.406543
5.40	-22.949078	-60.101929	-62.218507
5.50	-25.823730	-61.277496	-61.839843
5.60	-34.432617	-61.519391	-61.313253
5.70	-44.243741	-61.411552	-60.674142
5.80	-51.657933	-61.128204	-60.052520
5.90	-56.444091	-60.907242	-59.470806
6.00	-58.965744	-60.578646	-58.721304
6.10	-60.053818	-60.218811	-57.827984
6.20	-60.231007	-59.679969	-56.805000
6.30	-59.965559	-59.007134	-55.720624
6.40	-59.487810	-58.315717	-54.585097
6.50	-58.934683	-57.595454	-53.285951
6.60	-58.404084	-56.985685	-51.672763
6.70	-57.899715	-56.284444	-49.011462
6.80	-57.238143	-55.637713	-46.782721
6.90	-56.735462	-54.978345	-44.076316
7.00	-56.249307	-54.246108	-41.177489
7.10	-55.721105	-53.347535	-39.124858
7.20	-55.095431	-52.121422	-37.396338
7.30	-54.405419	-50.012035	-36.453470
7.40	-53.473871	-48.160430	-38.345078
7.50	-52.213323	-47.015571	-40.299017
7.60	-51.096111	-46.127692	-42.395282
7.70	-49.875566	-45.722856	-45.043784
7.80	-49.540690	-43.709105	-48.295801
7.90	-49.024791	-41.552992	-51.896741
8.00	-48.526170	-38.573645	-55.292936
8.10	-47.284440	-36.241148	-57.319958
8.20	-46.701457	-37.492651	-58.512117
8.30	-46.220533	-40.004066	-58.726306
8.40	-46.282137	-45.078697	-58.534934
8.50	-45.815749	-49.755570	-58.027058
8.60	-45.087599	-53.331937	-57.409621
8.70	-43.323601	-55.477102	-56.800834
8.80	-43.458183	-55.499356	-56.184165
8.90	-43.566114	-55.406318	-55.334403
9.00	-45.434234	-55.260812	-54.305817
9.10	-45.970452	-56.065340	-52.890250
9.20	-46.287255	-57.367857	-51.565521
9.30	-47.046942	-57.887617	-50.301388
9.40	-48.705669	-57.825123	-48.480578
9.50	-51.266204	-57.374014	-46.839500
9.60	-53.466144	-56.633666	-46.045366
9.70	-55.431870	-55.386737	-45.658931
9.80	-56.850120	-54.102080	-45.235413
9.90	-57.824891	-52.555627	-44.426969
10.00	-58.132265	-51.306438	-44.372839
10.10	-57.847684	-50.526827	-44.397311
10.20	-56.729191	-50.508667	-44.008242
10.30	-55.303447	-51.511700	-43.359340
10.40	-54.640490	-52.358713	-42.521424
10.50	-54.349366	-53.242198	-43.726024
10.60	-54.622901	-53.264859	-45.735840
10.70	-54.603628	-52.025387	-48.497149
10.80	-54.092386	-49.745138	-50.846776
10.90	-53.595778	-48.604051	-51.584224
11.00	-52.930515	-47.129269	-52.531671
11.10	-52.400105	-47.495266	-52.657897
11.20	-52.118784	-47.310117	-52.965303
11.30	-51.501719	-46.673885	-53.175664
11.40	-50.830092	-46.701203	-53.232598
11.50	-49.386861	-46.393550	-53.240365
11.60	-48.555436	-46.934456	-53.186719
11.70	-47.830379	-47.676232	-52.773388
11.80	-47.027673	-48.513835	-51.684857
11.90	-46.367062	-49.472071	-50.185969
12.00	-44.826056	-49.549849	-49.652253
12.10	-45.215932	-51.115125	-49.595636
12.20	-46.575422	-51.782032	-49.969387
12.30	-48.390800	-53.325551	-49.198899
12.40	-48.799472	-54.664991	-47.536470
12.50	-48.918751	-55.556833	-46.748944
12.60	-49.114076	-56.035545	-46.626700
12.70	-49.183653	-55.962827	-47.000835
12.80	-50.164510	-55.437369	-46.680646
12.90	-50.989585	-54.134018	-44.658084
13.00	-51.946249	-52.793464	-43.132179
13.10	-53.159933	-51.974149	-42.313847
13.20	-53.922067	-51.138771	-43.597980
13.30	-54.573196	-50.993247	-46.037640
13.40	-55.049488	-50.267997	-48.615585
13.50	-54.363154	-49.524186	-50.147259
13.60	-54.230006	-48.338932	-50.380584
13.70	-53.719836	-48.289661	-50.138683
13.80	-53.725460	-48.292905	-50.268715
13.90	-54.243517	-48.169613	-51.288481
14.00	-54.421528	-47.346072	-52.135421
14.10	-54.810450	-47.326480	-53.177098
14.20	-54.924514	-47.057701	-53.177606
14.30	-54.633733	-47.352851	-53.021200
14.40	-53.526862	-47.356674	-53.099522
14.50	-52.787973	-47.573249	-53.339772
14.60	-51.849346	-48.077174	-53.611468
14.70	-51.082622	-49.009824	-53.074198
14.80	-49.431478	-49.828641	-51.963293
14.90	-45.423094	-50.566614	-50.506309
15.00	-43.897211	-51.324848	-49.377706
15.10	-43.143963	-52.221948	-49.081792
15.20	-45.034290	-52.656434	-48.864127
15.30	-48.207335	-52.996911	-49.382491
15.40	-49.982653	-53.430840	-49.808865
15.50	-51.314788	-53.779382	-49.652425
15.60	-50.796777	-53.948330	-49.014110
15.70	-50.262990	-53.945379	-47.602443
15.80	-49.297094	-53.080011	-46.845042
15.90	-49.908130	-52.342511	-46.485476
16.00	-50.783466	-51.090447	-47.502925
16.10	-51.514903	-50.981963	-48.579653
16.20	-51.640541	-51.664869	-49.246722
16.30	-51.279084	-52.850705	-49.358475
