# TStellate2_CT1 Optimisation
# 20130812+17:28:12
 
#param.w.x[lsr][ts] = 0.001216	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.000983397	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000561479	[1e-07,0.3]
#param.w.x[tv][ts] = 2.00741e-05	[1e-07,0.3]
#param.w.x[glg][ts] = 0.000248028	[1e-07,0.3]
# final error=38.374233
# Threshold level 10 
# Threshold rate 475 
# TS exemplar RMP -60.9
# TS exemplar CF 9100
# Time	 IV @spl=20 (mV)	 IV @spl=30 (mV)	 IV @spl=40 (mV)
-20.00	-65.000000	-65.000000	-65.000000
-19.90	-64.870929	-64.870929	-64.870929
-19.80	-64.748355	-64.748355	-64.748355
-19.70	-64.631860	-64.631860	-64.631860
-19.60	-64.521157	-64.521157	-64.521157
-19.50	-64.415985	-64.415985	-64.415985
-19.40	-64.316094	-64.316094	-64.316094
-19.30	-64.221243	-64.221243	-64.221243
-19.20	-64.131203	-64.131203	-64.131203
-19.10	-64.045750	-64.045750	-64.045750
-19.00	-63.964613	-63.964613	-63.964613
-18.90	-63.887584	-63.887584	-63.887584
-18.80	-63.814474	-63.814474	-63.814474
-18.70	-63.745098	-63.745098	-63.745098
-18.60	-63.679282	-63.679282	-63.679282
-18.50	-63.616859	-63.616859	-63.616859
-18.40	-63.557667	-63.557667	-63.557667
-18.30	-63.501552	-63.501552	-63.501552
-18.20	-63.448365	-63.448365	-63.448365
-18.10	-63.397966	-63.397966	-63.397966
-18.00	-63.350218	-63.350218	-63.350218
-17.90	-63.304976	-63.304976	-63.304976
-17.80	-63.262090	-63.262090	-63.262090
-17.70	-63.221441	-63.221441	-63.221441
-17.60	-63.182917	-63.182917	-63.182917
-17.50	-63.146413	-63.147193	-63.146413
-17.40	-63.111829	-63.114022	-63.111829
-17.30	-63.079070	-63.083177	-63.079070
-17.20	-63.048043	-63.032122	-63.048043
-17.10	-62.996339	-62.967273	-63.018662
-17.00	-62.952782	-62.915606	-62.990841
-16.90	-62.915530	-62.873954	-62.964504
-16.80	-62.883253	-62.840002	-62.917281
-16.70	-62.854955	-62.812028	-62.855680
-16.60	-62.829892	-62.766468	-62.806730
-16.50	-62.785823	-62.664374	-62.767352
-16.40	-62.727976	-62.545645	-62.713563
-16.30	-62.660859	-62.393515	-62.628214
-16.20	-62.587813	-62.241155	-62.564686
-16.10	-62.511337	-62.090713	-62.495451
-16.00	-62.433722	-61.922182	-62.422585
-15.90	-62.268583	-61.765432	-62.347361
-15.80	-62.107333	-61.595003	-62.271285
-15.70	-61.972274	-61.460118	-62.153997
-15.60	-61.835040	-61.264101	-62.071378
-15.50	-61.742320	-61.085537	-61.883784
-15.40	-61.661083	-60.942369	-61.686521
-15.30	-61.567110	-60.802997	-61.506604
-15.20	-61.486792	-60.605752	-61.363449
-15.10	-61.307262	-60.420612	-61.119967
-15.00	-61.148994	-60.235721	-60.891807
