# TStellate2_CT2 Optimisation
# 20130828+16:12:18
 
#param.w.x[lsr][ts] = 0.0021116	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.001699	[1e-07,0.3]
#param.w.x[ds][ts] = 0.00041157	[1e-07,0.3]
#param.w.x[tv][ts] = 0.00015319	[1e-07,0.3]
#param.w.x[glg][ts] = 0.00038271	[1e-07,0.3]
# final error=255.184778
# Threshold level 20 
# Threshold rate 975 
# TS exemplar RMP -60.9
# TS exemplar CF 9100
# CV RMS errors:	
# Penalties :	
# IV RMS errors:	
# IV Penalties :	
# Final Error  255.185   255.185
# Time	 IV @spl=20 (mV)	 IV @spl=30 (mV)	 IV @spl=40 (mV)
-20.00	-65.000000	-65.000000	-65.000000
-19.90	-64.869248	-64.869248	-64.869248
-19.80	-64.745181	-64.745181	-64.745181
-19.70	-64.627368	-64.627368	-64.627368
-19.60	-64.515507	-64.515507	-64.515507
-19.50	-64.409324	-64.409324	-64.409324
-19.40	-64.308557	-64.308557	-64.308557
-19.30	-64.212957	-64.212957	-64.212957
-19.20	-64.122281	-64.122281	-64.122281
-19.10	-64.036293	-64.036293	-64.036293
-19.00	-63.954716	-63.954716	-63.954716
-18.90	-63.877337	-63.877337	-63.877337
-18.80	-63.803956	-63.803956	-63.803956
-18.70	-63.734384	-63.734384	-63.734384
-18.60	-63.668439	-63.668439	-63.668439
-18.50	-63.605948	-63.605948	-63.605948
-18.40	-63.546743	-63.546743	-63.546743
-18.30	-63.490665	-63.490665	-63.490665
-18.20	-63.437561	-63.437561	-63.437561
-18.10	-63.387285	-63.387285	-63.387285
-18.00	-63.339696	-63.339696	-63.339696
-17.90	-63.294636	-63.294636	-63.294636
-17.80	-63.251959	-63.251959	-63.251959
-17.70	-63.211544	-63.211544	-63.211544
-17.60	-63.173277	-63.173277	-63.173277
-17.50	-63.137050	-63.137050	-63.137050
-17.40	-63.102759	-63.102759	-63.102759
-17.30	-63.070307	-63.070307	-63.070307
-17.20	-63.039599	-63.039599	-63.039599
-17.10	-63.010547	-63.010547	-63.010547
-17.00	-62.983064	-62.983064	-62.983064
-16.90	-62.957482	-62.957069	-62.957069
-16.80	-62.933598	-62.932487	-62.932487
-16.70	-62.872887	-62.870887	-62.909243
-16.60	-62.825029	-62.783684	-62.810584
-16.50	-62.748371	-62.717412	-62.659977
-16.40	-62.690364	-62.666576	-62.477037
-16.30	-62.608249	-62.590642	-62.270407
-16.20	-62.548197	-62.457482	-62.006596
-16.10	-62.504418	-62.247365	-61.783495
-16.00	-62.398010	-62.022864	-61.545708
-15.90	-62.322539	-61.755066	-61.328561
-15.80	-62.231241	-61.453841	-61.046606
-15.70	-62.054983	-61.207230	-60.778922
-15.60	-61.819532	-60.997434	-60.497316
-15.50	-61.506374	-60.697236	-60.113334
-15.40	-60.990261	-60.382981	-59.206855
-15.30	-60.524345	-60.049366	-58.834302
-15.20	-60.021053	-59.752613	-58.570851
-15.10	-59.633735	-59.496518	-58.589267
-15.00	-59.191360	-59.188909	-58.806122
-14.90	-58.801090	-58.654157	-58.876387
-14.80	-58.384502	-57.476269	-58.319757
-14.70	-57.892683	-56.651415	-57.693233
-14.60	-57.284589	-56.247745	-57.492489
-14.50	-56.105001	-56.153956	-57.523009
-14.40	-55.631924	-56.125692	-57.655843
-14.30	-54.981338	-56.775567	-57.629612
-14.20	-54.379135	-56.903812	-56.908205
-14.10	-54.518089	-56.956367	-56.504979
-14.00	-54.359991	-57.265391	-56.084266
-13.90	-54.048629	-57.343388	-56.073709
-13.80	-54.029232	-57.761118	-56.218276
-13.70	-53.363448	-57.978091	-56.199464
-13.60	-53.278154	-57.970918	-55.878277
-13.50	-52.966228	-57.626560	-55.109994
-13.40	-53.379359	-56.678858	-53.236773
-13.30	-53.575537	-56.417226	-50.734712
-13.20	-53.857748	-56.116599	-48.836547
-13.10	-53.796431	-56.349413	-49.210219
-13.00	-53.732187	-56.356568	-50.603666
-12.90	-53.574881	-55.902447	-53.464148
-12.80	-53.727536	-54.271141	-55.615857
-12.70	-53.578399	-52.435136	-57.231036
-12.60	-53.749756	-50.639276	-58.030784
-12.50	-54.499672	-49.862696	-58.128163
-12.40	-55.535219	-50.385958	-57.236413
-12.30	-56.574295	-50.975471	-56.559067
-12.20	-57.280818	-52.615084	-55.518180
-12.10	-57.450496	-53.703624	-55.587958
-12.00	-57.179536	-54.403666	-55.462996
-11.90	-56.517214	-54.857153	-55.457893
-11.80	-55.361273	-55.082286	-55.458389
-11.70	-54.783896	-55.135927	-54.654030
-11.60	-54.399767	-55.706787	-53.936665
-11.50	-53.843007	-55.809990	-53.064514
-11.40	-53.999433	-55.324100	-53.096058
-11.30	-53.587011	-55.684274	-53.477104
-11.20	-55.131143	-55.300259	-54.611244
-11.10	-56.481029	-56.472538	-54.932712
-11.00	-58.240343	-57.319162	-56.255756
-10.90	-59.146121	-57.945488	-57.385154
-10.80	-59.304201	-58.042768	-59.285118
-10.70	-58.738078	-58.330137	-60.514508
-10.60	-58.690114	-58.391705	-61.186963
-10.50	-58.583851	-58.194941	-61.450049
-10.40	-59.059425	-58.017238	-61.522117
-10.30	-59.453085	-57.544215	-61.510054
-10.20	-59.653622	-56.836036	-61.490097
-10.10	-59.488341	-55.737552	-61.366420
-10.00	-58.582496	-55.846393	-61.239057
-9.90	-58.188056	-56.238950	-61.114232
-9.80	-57.882229	-57.660684	-60.848476
-9.70	-58.140431	-58.655441	-60.587725
-9.60	-58.343631	-59.061803	-60.409745
-9.50	-58.419047	-58.607232	-60.218929
-9.40	-58.290397	-58.185432	-60.052047
-9.30	-57.896464	-57.829057	-59.941262
-9.20	-57.083106	-57.851097	-59.775295
-9.10	-56.576714	-57.620082	-59.558677
-9.00	-55.701688	-57.149368	-59.292272
-8.90	-55.974409	-56.666733	-59.054947
-8.80	-56.148433	-55.786370	-58.591406
-8.70	-56.588593	-55.513599	-57.964963
-8.60	-56.222038	-55.805205	-57.289689
-8.50	-55.956966	-56.191471	-57.026557
-8.40	-56.099694	-56.764801	-56.975466
-8.30	-56.770084	-57.124600	-57.161233
-8.20	-57.894194	-57.390778	-56.810391
-8.10	-58.564573	-57.303565	-56.326127
-8.00	-58.807425	-57.264386	-56.115320
-7.90	-58.838679	-57.114841	-56.052793
-7.80	-58.638190	-56.767253	-55.611902
-7.70	-58.172411	-57.222695	-55.550993
-7.60	-57.135264	-57.520345	-55.058092
-7.50	-56.555664	-58.073568	-54.624029
-7.40	-56.008165	-58.342159	-54.137309
-7.30	-55.960869	-58.083797	-53.327798
-7.20	-54.874886	-57.425965	-53.424765
-7.10	-54.666992	-56.896365	-53.404752
-7.00	-54.352604	-56.615278	-54.564195
-6.90	-54.720674	-56.590419	-55.457020
-6.80	-55.743388	-56.257508	-55.276582
-6.70	-56.405231	-55.314011	-55.748025
-6.60	-57.261420	-54.488665	-55.941153
-6.50	-57.402927	-53.101646	-56.775275
-6.40	-57.026361	-53.290167	-57.638461
-6.30	-56.748542	-53.456373	-57.949525
-6.20	-56.507293	-53.144422	-57.326820
-6.10	-56.313908	-53.534777	-56.206083
-6.00	-55.056281	-53.942087	-55.694657
-5.90	-54.510969	-54.533872	-55.343816
-5.80	-53.926235	-55.252271	-56.307731
-5.70	-54.684977	-55.931070	-57.113187
-5.60	-55.671840	-55.947889	-57.916250
-5.50	-56.160270	-56.576844	-58.285643
-5.40	-56.717130	-56.811276	-58.349690
-5.30	-56.804684	-56.916885	-58.041576
-5.20	-57.103263	-57.351723	-56.875020
-5.10	-57.011478	-57.492128	-56.245054
-5.00	-56.700915	-57.917776	-56.176306
-4.90	-56.175353	-57.978921	-56.543429
-4.80	-55.472994	-57.910336	-57.369573
-4.70	-54.833508	-57.986178	-57.687011
-4.60	-55.094847	-58.364147	-57.427265
-4.50	-55.802441	-58.851810	-56.949334
-4.40	-57.485674	-59.135915	-57.089009
-4.30	-58.644480	-59.154691	-57.336325
-4.20	-59.242291	-59.093984	-57.856610
-4.10	-59.552298	-59.012677	-57.547136
-4.00	-59.626362	-58.799119	-56.968135
-3.90	-59.529524	-58.589005	-56.453200
-3.80	-59.429966	-58.285604	-56.536493
-3.70	-59.065682	-57.792798	-57.146150
-3.60	-58.712185	-56.847355	-57.887058
-3.50	-58.215035	-55.896640	-58.223374
