# TStellate_CS Optimisation
# Monday 5 November  21:23:13 EST 2012
 
#param.w.x[lsr][ts] = 0.0035	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.0032	[1e-07,0.3]
#param.w.x[ds][ts] = 1.2801e-05	[1e-07,0.3]
#param.w.x[tv][ts] = 1.1606e-05	[1e-07,0.3]
#param.w.x[glg][ts] = 3.3936e-05	[1e-07,0.3]
#param.ts_gleak = 0.000473539	[5e-05,0.005]
#param.ts_erev = -67	[0.03,0.08]
# final error=7.950485
# Time	Error Vec	 Reference Vec (mV)
-20.00	-45.157895	-65.000000
-19.90	-45.157895	-65.079328
-19.80	-45.157895	-65.147659
-19.70	-45.157895	-65.207406
-19.60	-45.157895	-65.260362
-19.50	-45.157895	-65.305624
-19.40	-45.157895	-65.338812
-19.30	-45.157895	-65.356259
-19.20	-45.157895	-65.359341
-19.10	-45.157895	-65.349798
-19.00	-45.157895	-65.322959
-18.90	-45.157895	-65.275767
-18.80	-45.157895	-65.210982
-18.70	-45.157895	-65.134078
-18.60	-45.157895	-65.048409
-18.50	-45.157895	-64.950093
-18.40	-45.157895	-64.836699
-18.30	-45.157895	-64.714852
-18.20	-45.157895	-64.593277
-18.10	-45.157895	-64.473963
-18.00	-45.157895	-64.348940
-17.90	-45.157895	-64.210851
-17.80	-45.157895	-64.070308
-17.70	-45.157895	-63.941859
-17.60	-45.157895	-63.823939
-17.50	-45.157895	-63.705327
-17.40	-45.157895	-63.587095
-17.30	-45.157895	-63.476389
-17.20	-45.157895	-63.369998
-17.10	-45.157895	-63.261426
-17.00	-45.157895	-63.150269
-16.90	-45.157895	-63.032562
-16.80	-45.157895	-62.904188
-16.70	-45.157895	-62.775536
-16.60	-45.157895	-62.656680
-16.50	-45.157895	-62.550721
-16.40	-45.157895	-62.458399
-16.30	-45.157895	-62.383492
-16.20	-45.157895	-62.326923
-16.10	-45.157895	-62.283034
-16.00	-45.157895	-62.245793
-15.90	-45.157895	-62.208406
-15.80	-45.157895	-62.156584
-15.70	-45.157895	-62.056217
-15.60	-45.157895	-61.759379
-15.50	-45.157895	-61.659840
-15.40	-45.157895	-61.670832
-15.30	-45.157895	-61.944343
-15.20	-45.157895	-62.227453
-15.10	-45.157895	-62.426673
-15.00	-45.157895	-62.485920
-14.90	-45.157895	-62.483188
-14.80	-45.157895	-62.455724
-14.70	-45.157895	-62.417505
-14.60	-45.157895	-62.374667
-14.50	-45.157895	-62.329725
-14.40	-45.157895	-62.281411
-14.30	-45.157895	-62.227772
-14.20	-45.157895	-62.168976
-14.10	-45.157895	-62.105744
-14.00	-45.157895	-62.036863
-13.90	-45.157895	-61.960555
-13.80	-45.157895	-61.882508
-13.70	-45.157895	-61.809371
-13.60	-45.157895	-61.728712
-13.50	-45.157895	-61.632655
-13.40	-45.157895	-61.532260
-13.30	-45.157895	-61.442035
-13.20	-45.157895	-61.369372
-13.10	-45.157895	-61.308472
-13.00	-45.157895	-61.252549
-12.90	-45.157895	-61.193244
-12.80	-45.157895	-61.130469
-12.70	-45.157895	-61.075388
-12.60	-45.157895	-61.033593
-12.50	-45.157895	-61.006782
-12.40	-45.157895	-60.992570
-12.30	-45.157895	-60.985181
-12.20	-45.157895	-60.983576
-12.10	-45.157895	-60.990026
-12.00	-45.157895	-60.997908
-11.90	-45.157895	-60.998946
-11.80	-45.157895	-60.991269
-11.70	-45.157895	-60.974229
-11.60	-45.157895	-60.952140
-11.50	-45.157895	-60.917998
-11.40	-45.157895	-60.839523
-11.30	-45.157895	-60.622162
-11.20	-45.157895	-60.520544
-11.10	-45.157895	-60.529279
-11.00	-45.157895	-60.842622
-10.90	-45.157895	-61.100815
-10.80	-45.157895	-61.266313
-10.70	-45.157895	-61.351350
-10.60	-45.157895	-61.399798
-10.50	-45.157895	-61.425946
-10.40	-45.157895	-61.435451
-10.30	-45.157895	-61.439932
-10.20	-45.157895	-61.447192
-10.10	-45.157895	-61.459234
-10.00	-45.157895	-61.474754
-9.90	-45.157895	-61.494114
-9.80	-45.157895	-61.506888
-9.70	-45.157895	-61.510839
-9.60	-45.157895	-61.517236
-9.50	-45.157895	-61.522345
-9.40	-45.157895	-61.521507
-9.30	-45.157895	-61.513353
-9.20	-45.157895	-61.499082
-9.10	-45.157895	-61.485600
-9.00	-45.157895	-61.468013
-8.90	-45.157895	-61.435331
-8.80	-45.157895	-61.368646
-8.70	-45.157895	-61.199448
-8.60	-45.157895	-60.904960
-8.50	-45.157895	-60.900072
-8.40	-45.157895	-61.043455
-8.30	-45.157895	-61.316345
-8.20	-45.157895	-61.535524
-8.10	-45.157895	-61.618382
-8.00	-45.157895	-61.603646
-7.90	-45.157895	-61.550098
-7.80	-45.157895	-61.477762
-7.70	-45.157895	-61.392955
-7.60	-45.157895	-61.300098
-7.50	-45.157895	-61.208230
-7.40	-45.157895	-61.125789
-7.30	-45.157895	-61.052166
-7.20	-45.157895	-60.982563
-7.10	-45.157895	-60.917764
-7.00	-45.157895	-60.865891
-6.90	-45.157895	-60.829273
-6.80	-45.157895	-60.801731
-6.70	-45.157895	-60.775180
-6.60	-45.157895	-60.741451
-6.50	-45.157895	-60.683597
-6.40	-45.157895	-60.584032
-6.30	-45.157895	-60.399392
-6.20	-45.158534	-59.994478
-6.10	-45.161503	-59.817835
-6.00	-45.164472	-59.615861
