# TStellate_CT1 Optimisation
# Monday 5 November  22:42:01 EST 2012
 
#param.w.x[lsr][ts] = 0.0033	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.0028039	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000122	[1e-07,0.3]
#param.w.x[tv][ts] = 0.000178	[1e-07,0.3]
#param.w.x[glg][ts] = 0.00016	[1e-07,0.3]
#param.ts_gleak = 0.000473539	[5e-05,0.005]
#param.ts_erev = -62.9	[0.03,0.08]
# final error=14.550335
# Time	Error Vec	 Reference Vec (mV)
-20.00	-55.957497	-65.000000
-19.90	-55.957497	-64.878787
-19.80	-55.957497	-64.774341
-19.70	-55.957497	-64.682924
-19.60	-55.957497	-64.601805
-19.50	-55.957497	-64.528921
-19.40	-55.957497	-64.462706
-19.30	-55.957497	-64.401961
-19.20	-55.957497	-64.345769
-19.10	-55.957497	-64.293420
-19.00	-55.957497	-64.244365
-18.90	-55.957497	-64.196202
-18.80	-55.957497	-64.147699
-18.70	-55.957497	-64.100309
-18.60	-55.957497	-64.054813
-18.50	-55.957497	-64.009613
-18.40	-55.957497	-63.961989
-18.30	-55.957497	-63.912763
-18.20	-55.957497	-63.860638
-18.10	-55.957497	-63.803434
-18.00	-55.957497	-63.744459
-17.90	-55.957497	-63.683766
-17.80	-55.957497	-63.621649
-17.70	-55.957497	-63.562299
-17.60	-55.957497	-63.502196
-17.50	-55.957497	-63.435878
-17.40	-55.957497	-63.364729
-17.30	-55.957497	-63.289862
-17.20	-55.957497	-63.214273
-17.10	-55.957497	-63.138079
-17.00	-55.957497	-63.059620
-16.90	-55.957497	-62.978445
-16.80	-55.957497	-62.893111
-16.70	-55.957497	-62.808887
-16.60	-55.957497	-62.730522
-16.50	-55.957497	-62.658466
-16.40	-55.957497	-62.594348
-16.30	-55.957497	-62.538586
-16.20	-55.957497	-62.487170
-16.10	-55.957497	-62.433862
-16.00	-55.957497	-62.377506
-15.90	-55.957497	-62.321980
-15.80	-55.957497	-62.265639
-15.70	-55.957497	-62.199838
-15.60	-55.957497	-62.122714
-15.50	-55.957497	-62.038504
-15.40	-55.957497	-61.948188
-15.30	-55.957497	-61.856380
-15.20	-55.957497	-61.769941
-15.10	-55.957497	-61.690534
-15.00	-55.957497	-61.613184
-14.90	-55.957497	-61.537385
-14.80	-55.957497	-61.469966
-14.70	-55.957497	-61.408115
-14.60	-55.957497	-61.346101
-14.50	-55.957497	-61.286587
-14.40	-55.957497	-61.232994
-14.30	-55.957497	-61.184976
-14.20	-55.957497	-61.143860
-14.10	-55.957497	-61.113640
-14.00	-55.957497	-61.095850
-13.90	-55.957497	-61.084786
-13.80	-55.957497	-61.075448
-13.70	-55.957497	-61.067226
-13.60	-55.957497	-61.052512
-13.50	-55.957497	-61.029508
-13.40	-55.957497	-61.003397
-13.30	-55.957497	-60.975513
-13.20	-55.957497	-60.946555
-13.10	-55.957497	-60.917055
-13.00	-55.957497	-60.891101
-12.90	-55.957497	-60.870928
-12.80	-55.957497	-60.852020
-12.70	-55.957497	-60.833038
-12.60	-55.957497	-60.811168
-12.50	-55.957497	-60.780032
-12.40	-55.957497	-60.738803
-12.30	-55.957497	-60.694576
-12.20	-55.957497	-60.651458
-12.10	-55.957497	-60.603054
-12.00	-55.957497	-60.546412
-11.90	-55.957497	-60.485378
-11.80	-55.957497	-60.423976
-11.70	-55.957497	-60.366051
-11.60	-55.957497	-60.309991
-11.50	-55.957497	-60.253966
-11.40	-55.957497	-60.196880
-11.30	-55.957497	-60.134969
-11.20	-55.957497	-60.068413
-11.10	-55.957497	-60.003207
-11.00	-55.957497	-59.938121
-10.90	-55.957497	-59.869590
-10.80	-55.957497	-59.793709
-10.70	-55.957497	-59.705158
-10.60	-55.957497	-59.591792
-10.50	-55.957497	-59.378791
-10.40	-55.957497	-59.128744
-10.30	-55.957497	-59.124890
-10.20	-55.957497	-59.349898
-10.10	-55.957497	-59.642484
-10.00	-55.957497	-59.867191
-9.90	-55.957497	-59.980485
-9.80	-55.957497	-60.042512
-9.70	-55.957497	-60.085828
-9.60	-55.957497	-60.123388
-9.50	-55.957497	-60.158329
-9.40	-55.957497	-60.187719
-9.30	-55.957497	-60.208054
-9.20	-55.957497	-60.220002
-9.10	-55.957497	-60.228430
-9.00	-55.957497	-60.236085
-8.90	-55.957497	-60.246027
-8.80	-55.957497	-60.257495
-8.70	-55.957497	-60.268290
-8.60	-55.957497	-60.281141
-8.50	-55.957497	-60.300803
-8.40	-55.957497	-60.325564
-8.30	-55.957497	-60.348701
-8.20	-55.957497	-60.370431
-8.10	-55.957497	-60.394766
-8.00	-55.957497	-60.418009
-7.90	-55.957497	-60.436392
-7.80	-55.957393	-60.450118
-7.70	-55.957186	-60.463106
-7.60	-55.956980	-60.480963
-7.50	-55.956773	-60.504340
-7.40	-55.956566	-60.527604
-7.30	-55.956360	-60.542465
-7.20	-55.956153	-60.546903
-7.10	-55.955946	-60.540565
-7.00	-55.955739	-60.527778
-6.90	-55.955533	-60.514973
-6.80	-55.955326	-60.502269
-6.70	-55.955119	-60.493314
-6.60	-55.954913	-60.489424
-6.50	-55.954706	-60.485263
-6.40	-55.954499	-60.478328
-6.30	-55.954292	-60.466051
-6.20	-55.954086	-60.447089
-6.10	-55.953879	-60.426741
-6.00	-55.953672	-60.411639
-5.90	-55.953466	-60.402646
-5.80	-55.953259	-60.394346
-5.70	-55.953052	-60.384059
-5.60	-55.952845	-60.370672
-5.50	-55.952639	-60.354009
-5.40	-55.952432	-60.337900
-5.30	-55.952225	-60.315038
-5.20	-55.952019	-60.278414
-5.10	-55.951812	-60.238149
-5.00	-55.951605	-60.205308
-4.90	-55.951398	-60.181851
-4.80	-55.951192	-60.168266
-4.70	-55.950985	-60.160519
-4.60	-55.950778	-60.152593
-4.50	-55.950571	-60.139075
-4.40	-55.950365	-60.118881
-4.30	-55.950158	-60.095924
-4.20	-55.949951	-60.069078
-4.10	-55.949745	-60.041829
-4.00	-55.950582	-60.021233
-3.90	-55.952657	-60.007296
-3.80	-55.954732	-59.997595
-3.70	-55.956807	-59.989442
-3.60	-55.958882	-59.979341
-3.50	-55.960956	-59.965835
-3.40	-55.963031	-59.944503
-3.30	-55.965106	-59.917179
-3.20	-55.967181	-59.880242
-3.10	-55.969256	-59.827364
-3.00	-55.971330	-59.765856
-2.90	-55.973405	-59.705893
-2.80	-55.975480	-59.649546
-2.70	-55.977555	-59.597776
-2.60	-55.979630	-59.554339
-2.50	-55.981705	-59.519366
